OTU ID,MH001P_S18,MH003P_S39,MH005P_S35,MH007P_S7,MH009P_S56,MH011P_S23,MH013P_S36,MH015P_S53,MH017P_S17,MH019P_S28,MH021P_S26,MH023P_S54,MH025P_S24,MH026S_S37,MH027S_S22,MH028SC_S57,MH028S_S13,MH030S_S52,MH031S_S51,MH034P_S33,MH034S_S20,MH035P_S1,MH035S_S11,MH036P_S42,MH036S_S55,MH038P_S15,MH038S_S4,MH039P_S48,MH039S_S9,MH040P_S63,MH040S_S27,MH041S_S38,MH041P_S6,MH047P_S31,MH047S_S46,MH048P_S2,MH048S_S44,MH049P_S41,MH049S_S50,MH050P_S45,MH050S_S32,MH056P_S60,MH056S_S29,MH057P_S47,MH057S_S8,MH058P_S21,MH058S_S34,MH059S_S49,MH060S_S16,MH061S_S59,MH063SR_S62,MH063S_S10
MH18_bOTU_2211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0
MH18_bOTU_1961,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,0,0
MH18_bOTU_3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,2,1,0,0,26,0,2,0,11,1,7,4,0,0,2,0,5,0,7,0,24,0,8,0,3,0,6,0,0,0,0,0
MH18_bOTU_1959,5,1,0,1,2,3,1,0,2,0,2,1,9,0,9,5,18,13,2,6,0,19,0,1,0,0,0,0,0,4,2,5,1,3,2,1,3,2,0,1,0,2,1,1,0,1,0,0,0,0,0,0
MH18_bOTU_2117,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,120,3,0,0
MH18_bOTU_2214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,128,0,0
MH18_bOTU_1978,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
MH18_bOTU_1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0
MH18_bOTU_2062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,117,7,2,1
MH18_bOTU_1718,9,1,3,3,0,6,3,1,4,1,1,1,1,0,1,1,12,0,6,7,5,0,0,0,0,0,0,0,0,3,7,0,4,1,7,3,8,10,0,0,0,2,10,0,3,1,4,0,0,0,0,0
MH18_bOTU_1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,41,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0
MH18_bOTU_2038,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127,0,0,0
MH18_bOTU_1784,2,2,0,4,3,6,4,6,3,2,0,2,2,0,0,0,0,0,0,9,0,0,0,10,0,13,0,10,0,4,0,0,4,2,0,5,0,1,0,19,0,3,0,6,0,6,0,0,0,0,0,0
MH18_bOTU_2282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,108,0,0,18
MH18_bOTU_2874,0,0,0,0,0,0,2,0,0,1,2,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2,88,19,0,0
MH18_bOTU_1865,16,0,0,9,2,3,1,3,2,2,0,0,0,0,1,0,0,0,0,3,0,0,0,3,0,4,0,14,0,1,0,0,4,1,0,0,0,37,0,4,0,6,0,3,0,9,0,0,0,0,0,0
MH18_bOTU_2557,3,4,2,0,0,0,0,1,0,1,0,0,0,1,18,21,12,4,0,3,0,35,0,2,0,0,0,3,0,3,0,0,2,2,0,1,0,4,0,3,0,2,0,1,0,0,0,0,0,0,0,0
MH18_bOTU_3408,0,0,0,0,0,0,1,0,2,0,0,5,1,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,2,0,1,0,4,0,86,0,0,17
MH18_bOTU_2538,13,5,1,3,8,2,5,1,0,0,0,1,0,0,9,6,14,0,0,7,0,18,0,7,0,5,0,1,0,2,0,0,3,0,0,1,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0
